customer_id,customer_name,email,country,city,signup_date,customer_segment
1,Customer 1,customer1@email.com,Germany,London,2023-12-22,SMB
2,Customer 2,customer2@email.com,Canada,Manchester,2024-06-18,Consumer
3,Customer 3,customer3@email.com,France,Leeds,2022-02-14,SMB
4,Customer 4,customer4@email.com,Canada,Manchester,2021-10-27,Corporate
5,Customer 5,customer5@email.com,Canada,Birmingham,2024-05-03,Consumer
6,Customer 6,customer6@email.com,USA,Manchester,2022-03-30,Corporate
7,Customer 7,customer7@email.com,France,Manchester,2022-07-28,SMB
8,Customer 8,customer8@email.com,France,Glasgow,2022-09-11,Corporate
9,Customer 9,customer9@email.com,France,Birmingham,2022-09-29,Corporate
10,Customer 10,customer10@email.com,Canada,London,2021-10-28,Corporate
11,Customer 11,customer11@email.com,Germany,Manchester,2023-02-18,SMB
12,Customer 12,customer12@email.com,France,London,2025-01-19,Consumer
13,Customer 13,customer13@email.com,Australia,Birmingham,2023-09-16,SMB
14,Customer 14,customer14@email.com,Canada,Manchester,2021-07-21,SMB
15,Customer 15,customer15@email.com,USA,Glasgow,2022-11-05,SMB
16,Customer 16,customer16@email.com,Germany,Leeds,2021-10-29,Consumer
17,Customer 17,customer17@email.com,Australia,Glasgow,2021-12-03,SMB
18,Customer 18,customer18@email.com,Australia,Glasgow,2021-02-01,SMB
19,Customer 19,customer19@email.com,USA,Leeds,2024-01-27,Consumer
20,Customer 20,customer20@email.com,Germany,Leeds,2023-02-12,Consumer
21,Customer 21,customer21@email.com,Canada,Leeds,2024-04-29,Consumer
22,Customer 22,customer22@email.com,UK,Manchester,2023-12-08,Corporate
23,Customer 23,customer23@email.com,Germany,London,2024-06-27,Consumer
24,Customer 24,customer24@email.com,USA,London,2024-06-03,Corporate
25,Customer 25,customer25@email.com,Australia,Leeds,2024-07-19,Corporate
26,Customer 26,customer26@email.com,Canada,Glasgow,2022-10-27,SMB
27,Customer 27,customer27@email.com,Germany,Birmingham,2021-11-24,Corporate
28,Customer 28,customer28@email.com,UK,Leeds,2023-03-08,SMB
29,Customer 29,customer29@email.com,UK,Glasgow,2024-04-18,Corporate
30,Customer 30,customer30@email.com,France,Glasgow,2023-03-25,Consumer
31,Customer 31,customer31@email.com,France,Manchester,2022-10-27,SMB
32,Customer 32,customer32@email.com,USA,Manchester,2023-01-16,Corporate
33,Customer 33,customer33@email.com,Germany,London,2023-11-13,SMB
34,Customer 34,customer34@email.com,Germany,London,2023-07-19,Consumer
35,Customer 35,customer35@email.com,Australia,Birmingham,2023-08-21,Corporate
36,Customer 36,customer36@email.com,Australia,Birmingham,2024-10-25,Corporate
37,Customer 37,customer37@email.com,Australia,Birmingham,2024-06-22,Consumer
38,Customer 38,customer38@email.com,France,Birmingham,2024-03-29,Corporate
39,Customer 39,customer39@email.com,Germany,Glasgow,2022-01-08,Corporate
40,Customer 40,customer40@email.com,Germany,Glasgow,2021-10-12,SMB
41,Customer 41,customer41@email.com,UK,London,2022-06-05,Corporate
42,Customer 42,customer42@email.com,France,Manchester,2025-01-13,Consumer
43,Customer 43,customer43@email.com,Canada,Manchester,2022-11-28,Corporate
44,Customer 44,customer44@email.com,France,Leeds,2023-03-18,SMB
45,Customer 45,customer45@email.com,Canada,Glasgow,2022-10-09,Corporate
46,Customer 46,customer46@email.com,UK,Birmingham,2021-05-16,SMB
47,Customer 47,customer47@email.com,USA,Birmingham,2021-04-06,Corporate
48,Customer 48,customer48@email.com,Germany,Leeds,2024-02-17,SMB
49,Customer 49,customer49@email.com,UK,Manchester,2024-10-29,SMB
50,Customer 50,customer50@email.com,Germany,Birmingham,2021-10-01,Corporate
51,Customer 51,customer51@email.com,Australia,Manchester,2023-05-28,Consumer
52,Customer 52,customer52@email.com,USA,Leeds,2023-04-30,Consumer
53,Customer 53,customer53@email.com,USA,Manchester,2024-04-15,Corporate
54,Customer 54,customer54@email.com,UK,Manchester,2023-02-23,Corporate
55,Customer 55,customer55@email.com,USA,Manchester,2024-07-24,Corporate
56,Customer 56,customer56@email.com,Canada,Birmingham,2024-03-07,Corporate
57,Customer 57,customer57@email.com,USA,London,2021-05-12,Corporate
58,Customer 58,customer58@email.com,Germany,Glasgow,2023-12-04,Consumer
59,Customer 59,customer59@email.com,Germany,Manchester,2024-02-21,SMB
60,Customer 60,customer60@email.com,Germany,Manchester,2024-03-05,SMB
61,Customer 61,customer61@email.com,Germany,Manchester,2024-10-22,Consumer
62,Customer 62,customer62@email.com,Canada,London,2022-01-08,Consumer
63,Customer 63,customer63@email.com,France,Leeds,2024-02-24,SMB
64,Customer 64,customer64@email.com,Australia,Birmingham,2025-01-02,Consumer
65,Customer 65,customer65@email.com,UK,London,2023-03-19,Corporate
66,Customer 66,customer66@email.com,Germany,Manchester,2023-01-14,Consumer
67,Customer 67,customer67@email.com,USA,London,2021-02-20,Consumer
68,Customer 68,customer68@email.com,Germany,London,2024-03-06,Consumer
69,Customer 69,customer69@email.com,USA,London,2024-03-27,Consumer
70,Customer 70,customer70@email.com,Australia,Leeds,2021-02-25,SMB
71,Customer 71,customer71@email.com,Australia,Glasgow,2023-01-14,SMB
72,Customer 72,customer72@email.com,Australia,Birmingham,2022-03-04,SMB
73,Customer 73,customer73@email.com,USA,Leeds,2022-03-19,SMB
74,Customer 74,customer74@email.com,Germany,Leeds,2021-11-22,Corporate
75,Customer 75,customer75@email.com,Australia,Glasgow,2022-10-02,Corporate
76,Customer 76,customer76@email.com,Canada,Leeds,2023-04-09,SMB
77,Customer 77,customer77@email.com,USA,London,2021-03-21,SMB
78,Customer 78,customer78@email.com,USA,London,2022-04-19,SMB
79,Customer 79,customer79@email.com,Germany,Manchester,2022-01-12,Consumer
80,Customer 80,customer80@email.com,USA,Leeds,2023-07-08,Corporate
81,Customer 81,customer81@email.com,USA,Manchester,2021-11-29,Corporate
82,Customer 82,customer82@email.com,Australia,Birmingham,2024-04-13,Consumer
83,Customer 83,customer83@email.com,Germany,London,2022-03-17,Consumer
84,Customer 84,customer84@email.com,Australia,Birmingham,2021-05-06,Consumer
85,Customer 85,customer85@email.com,Australia,Glasgow,2021-08-07,Corporate
